Kabupaten,Tahun,IPM,TPAK,PDRB,TPT,Kategori_TPT
Pacitan,2020,69.28,80.36,26972,2.28,Rendah
Ponorogo,2020,71.57,71.51,21654,4.45,Rendah
Trenggalek,2020,70.1,75.72,25087,4.11,Rendah
Tulungagung,2020,73.15,73.17,35143,4.61,Sedang
Blitar,2020,71.02,70.83,29490,3.82,Rendah
Kediri,2020,72.8,70.65,24885,5.24,Sedang
Malang,2020,71.24,71.62,38495,5.49,Sedang
Lumajang,2020,67.04,66.92,28707,3.36,Rendah
Jember,2020,69.01,68.04,30023,5.12,Sedang
Banyuwangi,2020,71.85,71.8,47567,5.34,Sedang
Bondowoso,2020,69.1,75.09,25706,4.13,Rendah
Situbondo,2020,68.94,73.17,29244,3.85,Rendah
Probolinggo,2020,68.77,72.89,29280,4.86,Sedang
Pasuruan,2020,70.2,67.67,90747,6.24,Sedang
Sidoarjo,2020,80.65,67.17,94818,10.97,Tinggi
Mojokerto,2020,74.58,69.79,73335,5.75,Sedang
Jombang,2020,73.63,70.23,30303,7.48,Tinggi
Nganjuk,2020,72.78,65.75,24134,4.8,Sedang
Madiun,2020,72.94,71.42,25811,4.8,Sedang
Magetan,2020,74.85,73.23,28024,3.74,Rendah
Ngawi,2020,71.49,72.69,23323,5.44,Sedang
Bojonegoro,2020,70.18,74.6,54048,4.92,Sedang
Tuban,2020,69.6,71.84,52085,4.81,Sedang
Lamongan,2020,73.44,70.81,29221,5.13,Sedang
Gresik,2020,76.59,66.53,102623,8.21,Tinggi
Bangkalan,2020,65.17,67,22038,8.77,Tinggi
Sampang,2020,64.75,69.93,20503,3.35,Rendah
Pamekasan,2020,68.65,69.82,19779,3.49,Rendah
Sumenep,2020,67.15,75.02,29166,2.84,Rendah
Kota Kediri,2020,78.78,66,462199,6.21,Sedang
Kota Blitar,2020,78.88,69.53,45090,6.68,Tinggi
Kota Malang,2020,82.19,66.41,85540,9.61,Tinggi
Kota Probolinggo,2020,74.81,69.07,46302,6.7,Tinggi
Kota Pasuruan,2020,76.47,70.05,38774,6.33,Sedang
Kota Mojokerto,2020,78.95,68.21,49840,6.74,Tinggi
Kota Madiun,2020,81.93,68.63,69463,8.32,Tinggi
Kota Surabaya,2020,82.76,68.05,193010,9.79,Tinggi
Kota Batu,2020,76.82,72.33,74884,5.93,Sedang
