Kabupaten/Kota Se Jawa Timur,
,Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota (Persen)
,2021
Kabupaten Pacitan,80.57
Kabupaten Ponorogo,72.63
Kabupaten Trenggalek,72.36
Kabupaten Tulungagung,72.26
Kabupaten Blitar,70.44
Kabupaten Kediri,69.34
Kabupaten Malang,68.49
Kabupaten Lumajang,66.19
Kabupaten Jember,68.97
Kabupaten Banyuwangi,72.32
Kabupaten Bondowoso,73.89
Kabupaten Situbondo,71.63
Kabupaten Probolinggo,73.24
Kabupaten Pasuruan,69.03
Kabupaten Sidoarjo,66.47
Kabupaten Mojokerto,70.47
Kabupaten Jombang,70.69
Kabupaten Nganjuk,64.24
Kabupaten Madiun,67.77
Kabupaten Magetan,73.31
Kabupaten Ngawi,72.88
Kabupaten Bojonegoro,71.84
Kabupaten Tuban,73.77
Kabupaten Lamongan,70.72
Kabupaten Gresik,69.43
Kabupaten Bangkalan,68.66
Kabupaten Sampang,70.19
Kabupaten Pamekasan,65.88
Kabupaten Sumenep,75.63
Kota Kediri,67.35
Kota Blitar,69.96
Kota Malang,67.59
Kota Probolinggo,69.71
Kota Pasuruan,71.66
Kota Mojokerto,67.09
Kota Madiun,66.87
Kota Surabaya,67.3
Kota Batu,73.74
Jawa Timur,70
