Kabupaten/Kota Se Jawa Timur,
,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota (Persen)
,2021
Kabupaten Pacitan,2.04
Kabupaten Ponorogo,4.38
Kabupaten Trenggalek,3.53
Kabupaten Tulungagung,4.91
Kabupaten Blitar,3.66
Kabupaten Kediri,5.15
Kabupaten Malang,5.4
Kabupaten Lumajang,3.51
Kabupaten Jember,5.44
Kabupaten Banyuwangi,5.42
Kabupaten Bondowoso,4.46
Kabupaten Situbondo,3.68
Kabupaten Probolinggo,4.55
Kabupaten Pasuruan,6.03
Kabupaten Sidoarjo,10.87
Kabupaten Mojokerto,5.54
Kabupaten Jombang,7.09
Kabupaten Nganjuk,4.98
Kabupaten Madiun,4.99
Kabupaten Magetan,3.86
Kabupaten Ngawi,4.25
Kabupaten Bojonegoro,4.82
Kabupaten Tuban,4.68
Kabupaten Lamongan,4.9
Kabupaten Gresik,8
Kabupaten Bangkalan,8.07
Kabupaten Sampang,3.45
Kabupaten Pamekasan,3.1
Kabupaten Sumenep,2.31
Kota Kediri,6.37
Kota Blitar,6.61
Kota Malang,9.65
Kota Probolinggo,6.55
Kota Pasuruan,6.23
Kota Mojokerto,6.87
Kota Madiun,8.15
Kota Surabaya,9.68
Kota Batu,6.57
Jawa Timur,5.74
